Size (sq ft),Price ($)
850,250000
900,265000
920,270000
950,280000
1000,295000
1050,310000
1100,325000
1150,340000
1200,355000
1250,370000
1300,385000
1350,400000
1400,415000
1450,430000
1500,445000
1550,460000
1600,475000
1650,490000
1700,505000
1750,520000
1800,535000
1850,550000
1900,565000
1950,580000
2000,595000
2050,610000
2100,625000
2150,640000
2200,655000
2250,670000
2300,685000
2350,700000
2400,715000
2450,730000
2500,745000
2550,760000
2600,775000
2650,790000
2700,805000
2750,820000
2800,835000
2850,850000
2900,865000
2950,880000
3000,895000
3050,910000
3100,925000
3150,940000
3200,955000
3250,970000
3300,985000
3350,1000000
3400,1015000
3450,1030000
3500,1045000
3550,1060000
3600,1075000
3650,1090000
3700,1105000
3750,1120000
3800,1135000
3850,1150000
3900,1165000
3950,1180000
4000,1195000
4100,1225000
4200,1255000
4300,1285000
4400,1315000
4500,1345000
4600,1375000
4700,1405000
4800,1435000
4900,1465000
5000,1495000
5100,1525000
5200,1555000
5300,1585000
5400,1615000
5500,1645000
5600,1675000
5700,1705000
5800,1735000
5900,1765000
6000,1795000
6100,1825000
6200,1855000
6300,1885000
6400,1915000
6500,1945000
6600,1975000
6700,2005000
6800,2035000
6900,2065000
7000,2095000
7100,2125000
7200,2155000
7300,2185000
7400,2215000
7500,2245000
7600,2275000
7700,2305000
7800,2335000
7900,2365000
8000,2395000
